id,goal,target,indicator,series,seriesdescription,seriescount,geoareacode,country,year,value,valuetype,source,footnotes,attributes,dimensions
czechia2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,203,Czechia,2020,3.60281,Float,Eurostat,"Since there is no public breakdown of the amount of household food waste recycled, it is classified among others.","Nature: C, Units: KG, Observation Status: E","Reporting Type: G, Food Waste Sector: OOHC"
czechia2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,203,Czechia,2020,80.24763,Float,Eurostat,"Since there is no public breakdown of the amount of household food waste recycled, it is classified among others.","Nature: C, Units: KG, Observation Status: E","Reporting Type: G, Food Waste Sector: ALL"
czechia2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,203,Czechia,2020,6.11474,Float,Eurostat,"Since there is no public breakdown of the amount of household food waste recycled, it is classified among others.","Nature: C, Units: KG, Observation Status: E","Reporting Type: G, Food Waste Sector: RTL"
czechia2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,203,Czechia,2020,70.53008,Float,Eurostat,"Since there is no public breakdown of the amount of household food waste recycled, it is classified among others.","Nature: C, Units: KG, Observation Status: E","Reporting Type: G, Food Waste Sector: HHS"
czechia2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,203,Czechia,2022,5.99772,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
czechia2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,203,Czechia,2022,68.97379,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
czechia2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,203,Czechia,2022,78.96999,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
czechia2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,203,Czechia,2022,3.99848,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
denmark2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,208,Denmark,2019,20.555,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
denmark2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,208,Denmark,2019,80.99704,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
